emotion,source_name,source_type,text
ANGER,overhear,vk,"Работаю продавцом, внешне вполне симпатичная девушка. Когда приходит покупатель, всегда улыбаюсь. Не скалюсь на все 32 зуба, просто лёгкая улыбка на губах и в глазах. Не потому, что так надо, а потому, что искренне хочу поделиться хорошим настроением и наладить контакт. И как же бесят мужчины, которые, видя мою улыбку, начинают возмущаться: ""Девушка, а чего вы улыбаетесь? Вы что, надо мной смеётесь?! Со мной что-то не так?!"" И всякое желание быть приветливой моментально пропадает. Да, с ним явно что-то не так, если ему улыбается привлекательная девушка, а единственное, что ему приходит в голову, что она насмехается! Тут не улыбаться, тут сочувственно плакать надо!   "
ANGER,overhear,vk,"Написала рапорт на увольнение из силовой структуры, прослужив там 13 лет. Я нашла более высокооплачиваемую работу. Получила возможность путешествовать, так как выезжать было нельзя. Могу теперь работать удалённо, если нужно остаться дома на два дня. Но как же бесят родственники и друзья, утверждая, что зря сняла погоны — там ведь столько льгот и плюшек. И ничего, что из всех плюшек там бесплатная униформа и поездки в санаторий совкового характера.   "
ANGER,overhear,vk,"Работаю маркетологом у крупного бренда. Иногда проводим розыгрыши в группах и всегда честно выбираем победителей случайным образом, и отправляем все призы. Но как же бесят люди, которые просто уверены, что все куплено, побеждают только родственники организаторов, да вообще выбор не случайный (хотя снимаем видео); однако упорно продолжают участвовать каждый раз, а потом по новой поливать всех дерьмом в комментариях.   "
ANGER,overhear,vk,"Бывший муж страдал ""медвежьей болезнью"". Всегда, когда он или мы вместе куда-то торопились, ему приспичивало по большой нужде. И чем сильнее торопились, тем сильнее приспичивало. Вечные опоздания, мои психи, ссоры. Развелись, а как вспомню, до сих пор, сука, бесит!   "
ANGER,overhear,vk,"У мужа и его маман общая плохая привычка — они не смотрят вниз, вот буквально. В ванной и на раковине постоянно волосы со всех мест, грязь. Убрать что-то на место — никогда. В туалете плавают недосмытые какахи, на сливе налипает. Ёршик не стряхивается, стакан полный ""супчика"". Обращаю их внимание, и они очень удивляются, хотя в остальном они не грязнули. Эти моменты бесят ужасно.   "
ANGER,overhear,vk,"Как меня бесят эти совковые бабки-гардеробщицы-уборщицы! Отдал одной такой куртку в гардероб. Спешил так, что забыл телефон. Вернувшись, показал номерок и попросил принести куртку. На меня вылилось столько возмущений и грубостей по поводу того, что ей «тяжело куртки таскать; каждый что-то забудет — не наносишься!». Да всем плевать, как тебе тут работается, все ли устраивает. На своем рабочем месте человек просто должен выполнять свою работу! Не выясняю отношений, разворачиваюсь и бегу прочь.   "
ANGER,overhear,vk,"Бесит, когда покупаете вместе с друзьями еду, договариваетесь скинуться, все обещают потом тебе деньги перевести и забывают! И надо, как попугай, постоянно напоминать об этом. Деньги — довольно щепетильная тема, но почему все просто не могут помнить о том, кто кому и сколько должен...   "
ANGER,overhear,vk,"Я не могу уснуть, когда кто-то храпит. Это самый отвратительный, пронзительный и будоражащий моё тело и сознание звук. Я слышу храп соседа этажом выше и битый час не могу уснуть. Это бесит. Я могу спать под звуки перфоратора, фейерверка, стука, под звон посуды, шум и разговоры людей, но ХРАП — это то, что выведет меня из себя за пару минут и отнимет покой. И никакие беруши, ведро алкоголя не спасут от этого звука.   "
ANGER,overhear,vk,"Бесят люди, не соблюдающие личное пространство. Стоишь на кассе в магазе, а тебе в жопу тележкой тычут. Ты не успеешь оплатить свои вонючие покупки? Если расстояние между нами будет меньше 5 см, кто-то втиснется? Или когда у банкомата деньги снимаешь, сзади кто-то стоит и в спину дышит, как дракон. Собираешься выходить из автобуса, а тебя уже пихают к двери, чуть ли не залезают на тебя сверху, и едешь лицом в стекло вмятый. Люто бесит.   "
ANGER,overhear,vk,"У меня огромная коллекция игр на ps4. Почти все коллекционные издания, некоторые даже специально заказывала из-за границы и ждала. Недавно мой парень раздал половину своим друзьям поиграть. Вернули мои диски в непонятном состоянии: без дополнительных материалов (карт, артбуков, дисков с саундтреками), мятые коробки, часть дисков с царапинами. А некоторые вообще не вернули, парень не помнит, кому что давал. И искренне не понимает, почему я в бешенстве. Для друзей, мол, ничего не жалко!   "
ANGER,overhear,vk,"Звоню в службу поддержки мобильного оператора, произвожу множество манипуляций, мне говорят: «Время ожидания специалиста — туева хуча минут». Пока жду, мою посуду, делаю себе чаек, бутербродики, спасаю мир... «Время ожидания специалиста — по-прежнему дохрена минут». Тут я уверенно начинаю поглощать свой вожделенный бутерброд, пережевываю, и вуаля — со мной здоровается оператор! И всё бутербродное месиво приходится выплёвывать, чтоб не говорить с набитым ртом…   "
ANGER,overhear,vk,"Мы с сестрой близнецы. И каждый год обязательно находятся несколько человек, которые пишут поздравление одно на двоих в общем чате. Ладно ещё, когда чат есть и он активный, но некоторые ведь специально создают чат на троих, чтобы написать что-то стандартное, но один раз, а не два. Мы с сестрой разные люди, у нас разные интересы, образование, жизнь. Разная мимика и манера поведения, стиль в одежде. Мы не один и тот же человек, но все об этом забывают, ведь мы близнецы.   "
ANGER,overhear,vk,"Как же бесит, когда прихожу в бассейн, а в душе тётки начинают брить всё, что можно! Да ещё так растопырятся, что аж проход заграждают, душ занимают по полчаса! Такое чувство, что в бассейн они приходят только для того, чтобы помыться нормально. Эти процедуры можно сделать и дома. Противно до ужаса.   "
ANGER,overhear,vk,"Больше всего хочу похудеть даже не из-за того, чтобы нравиться противоположному полу, а чтобы зимой не бесили сраные колготки, которые приходится надевать под штаны. Потому что, когда садишься, они предательски скатываются на животе, забиваясь прямо в складу! Как же я это ненавижу!   "
ANGER,overhear,vk,"Не люблю свой День Рождения. Я родилась 1 апреля. И, сука, каждая тварь считает своим священным долгом ебаната пошутить надо мной. Ладно бы про белую спину, так нет. В школе это была порча имущества, меня взрывали на петарде, могли всем классом вместе с училкой поздравить, а потом добавить: ""Это была шутка, всем насрать на твою днюху!"" И это при том, что торт жрали вполне серьёзно. Взрослые ничем не лучше — шутки от ""хорошо твоя мама отца разыграла"" до ""у тебя диагностировали рак, вот справка"".   "
ANGER,overhear,vk,"Я сама воспитываю двоих маленьких детей. Без проблем знакомлюсь с мужчинами. Некоторых смущает наличие ""прицепа"", и они предлагают свободные отношения, а другие готовы воспитывать их со мной, становиться полноценной семьёй. Но когда говорю подругам о наличии молодого человека в моей жизни, они считают своим долгом спросить: ""А он знает, что у тебя двое детей? Чего он ещё не сбежал? Ну, вот увидишь, скоро свалит"". Прям бесит такая поддержка!   "
ANGER,overhear,vk,"Не работаю уже три месяца, работу не ищу. И каждый считает нужным сказать, что по воскресеньям ярмарка вакансий, как без работы тяжело, как же я трачу столько времени свободного... Как надоело каждому объяснять, что если я осознанно не работаю столько времени и не планирую пока, значит, я могу себе это позволить! Я работала раньше, чтобы не работать сейчас!   "
ANGER,overhear,vk,"В детстве занималась плаванием, занимала места на соревнованиях, имею звание мастера спорта. Сейчас серьёзно уже не занимаюсь, хожу в бассейн поплавать. И чуть ли не каждый, блин, раз находится какой-нибудь мужчина-""профи"", который начинает с умным видом рассказывать, что плаваю я плохо и неправильно, техника отвратительная, но он, так уж и быть, готов меня научить. И стремятся ""поддерживать на воде"", хватая за задницу. Бесят адски, задолбалась посылать. Самое смешное — половина сами плавают чуть лучше, чем утюг, один реально чуть ко дну не пошёл, когда слишком увлёкся.   "
ANGER,overhear,vk,"Всегда ухаживала за своим телом и лицом. Мне 52, все дают 27-30; возраст скрываю. Обожаю надевать яркие и элегантные платья. Но как же бесит, когда сын, невестка и люди, которые знают мой реальный возраст, делают мне замечание: мол, в твоем возрасте так нельзя одеваться. А еще мне хочется покупать пышные платья, как для принцесс, и носить их. Но бщество требует носить черно-серые мешки. У меня всего одна жизнь, но как же мешают навязанные стандарты.   "
ANGER,overhear,vk,"Моя мама — педагог от бога. Ее знают, ей восхищаются, к ней ведут своих детей, соглашаясь на любые условия. И это прекрасно! Но как же бесит! Нам (ее детям) многое нельзя, так как ее все знают. Если косячим, то тут же отражается на маме. Наша жизнь (как и мамина) на вечном обсуждении. Стоит куда-то выйти с ней, ее постоянно останавливают дети или взрослые. Все ее ученики помнят ее еще много лет после. Как будто мы дети какой-то чертовой звезды.   "
ANGER,overhear,vk,"Лыжи, лыжи, сука, ЛЫЖИ! Все новогодние каникулы только и слышно: ""Ой, а мы на лыжах катались, мы такие молодцы! А вы катались? Ой, а когда пойдете кататься? Ой, ну НАДО на лыжах кататься, вы чего! Как можно не кататься на лыжах, сейчас самое время! Вот мы так хорошо покатались вчера и сегодня еще пойдем!"" Не запихнуть ли всем активистам эти лыжи в задницу по самые гланды?! Не хочу и не катаюсь! Весь Новый год я ел салаты, валялся на диване и смотрел кино! И это был один из лучших НГ в жизни!   "
ANGER,overhear,vk,"Моя сестра — красивая девушка, к тому же мы не особо похожи. И мы с ней дружны, летом с нашими общими друзьями часто ездим в поход (все парочками), и мы, конечно же, общаемся больше друг с другом. Все бы ничего, но каждый раз, когда я пытаюсь познакомиться с девушкой, которая мне понравилась, КАЖДАЯ, абсолютно каждая девушка посылают меня, ссылаясь на то, какой я бессовестный, ведь со мной рядом и так есть дама. Когда пытаюсь объяснить ситуацию, они только кивают и уходят. БЕСИТ!   "
ANGER,overhear,vk,"Работаю тату-мастером, большая часть моих клиентов — девушки, но бывают и мужчины, и 99,9% «сильной половины человечества» пытаются ко мне подкатить во время сеанса. Зная, что в этот день в очереди стоит мужчина, одеваюсь максимально неброско, но это не спасает. И по некоему закону подлости в этот же день внезапно нагрянет какая-нибудь девушка нетрадиционной ориентации, и подкаты усилятся. Я люблю внимание, но после пяти пикаперов за день хочется набить себе на лбу «я замужем».   "
ANGER,overhear,vk,"Имею дурную привычку скусывать губы. Из-за этого они постоянно сухие и выглядят не очень. И это, как замкнутый круг: они сохнут, я сгрызаю засохший слой, иногда до крови, они заживают, я снова сгрызаю. Пользуюсь гигиеническими помадами, но они особо не помогают. Не знаю, как от этого избавиться.   "
ANGER,overhear,vk,"Считаю, что выбор профессии — одна из самых сложных вещей в жизни. Как это понять? Ведь многие люди — серая масса: ничем не увлекаются, ничего не хотят, а лишь ходят на работу. Конечно, есть увлечённые своим делом люди, но таких ведь очень мало! А всё потому, что обычно свой выбор нужно делать в раннем возрасте, когда ничего не хочется, ветер в голове. Прямо бесит это.   "
ANGER,overhear,vk,"На работе есть врач — отличный спец, мастер своего дела, но эта губительная слабость к уменьшительно-ласкательным суффиксам несколько обескураживает. Бинтик, иголочка, пинцетик, скальпелёчек, ножка-ручка, животик, головка… Женщина, я понимаю, что у тебя трое детей, и высота профессионализма при этом вызывает как минимум уважение, но, блин, поберегла бы нашу психику!   "
ANGER,overhear,vk,"Часто мотаюсь в Европу, и на каждой пьянке стараюсь как можно большему количеству людей вбить в голову одну важную штуку: что в России не говорят это злоебучее «на здоровье» вместо тоста. Заебалась уже слушать эту фразу: как в кино, так и среди «чуть-чуть говорю по-русски» людей. Особенно бесит, когда вместо «пожалуйста» говоришь «на здоровье», а на тебя смотрят как на кретина: мол, это же тост, зачем ты это сказала…   "
ANGER,overhear,vk,"Меня жутко бесят девушки, которые не понимают, когда говоришь им уверенное ""нет"". Да, я в курсе, что моя девушка не стена. И в курсе, что при желании она ничего не узнает. Но, чёрт возьми, я-то буду в курсе! И что это за навязчивая идея переспать с тем, кто занят?!   "
ANGER,overhear,vk,"Зря начал со своей девушкой вместе жить, чувствую. Работает в офисе, весь день может чаи гонять, а я на заводе. Возвращаюсь с работы, хочу жрать, хочу скорее хоть яичницу, хоть макарон себе сварить, а она не дает, выпроваживает с кухни. ""Ой, я сейчас ужин приготовлю"", — и запереться там может на два часа, приглашает к сервированному столу, будто для лорда, со скатертью и свечами. У меня уже кишки закручиваются к тому времени, плевать на всё, а она ещё удивляется, что я не рад и не кидаюсь ее благодарить. Разговоры не помогают, она хочет ""чтобы красиво"", ""как положено"" и ""не надо дрянь есть"". Теперь плюю на неё, с работы прихожу и сразу сажусь набивать себе живот, а она истерики устраивает, что мне сложно ее ""дождаться и сделать всё по-людски"".   "
