emotion,source_name,source_type,text
DISGUST,overhear,vk,"Друзья спрашивают, как я вдруг смогла отказаться от мяса, стала веганом в их понимании. Всегда отвечаю, что любовь к животным и милосердие двигают рукою моею. Однако только я и еще пара человек знают, что, пока я была в отъезде, кто-то обесточил квартиру. И когда спустя три недели я вернулась, холодильник и морозильник со всем мясом, рыбой, пельменями пропах таким ароматом тухлятины, что разъедало глаза. После разборки и чистки не могу смотреть на мясо — сразу чувствую тот трупный запах.   "
DISGUST,overhear,vk,"В случае засора раковины или душа у себя дома обожаю вытаскивать пальцами намотанные клоки волос из слива, ощущать контакт с ошмётками чего-либо и видеть после этого, как вода свободно уходит вниз. Получаю странное удовольствие от этого и улыбаюсь. Средства от засоров покупаю редко. Это слишком просто, скучно, и не возникают никакие эмоции от такого бытового действия.   "
DISGUST,overhear,vk,"Пошла в кафе на первое свидание с парнем, с которым познакомилась в интернете. Он оказался тощеньким, робким, но чем-то зацепил меня. Всё свидание мы проговорили, было здорово, хотя видно было, что он очень волновался. То ли нервы его сдали, то ли роллы были не первой свежести, но после первого поцелуя он очень громко, жидко и вонюче обдристался. Он покраснел невероятно и просто убежал в ночь, оставив меня в тёмном дворе холодным октябрём. Неделю мы молчали, потом я не выдержала и написала ему. Всё-таки он мне понравился, а то, что произошло… ну, бывает же. Он долго молчал, потом ответил. На втором свидании всё прошло без эксцессов, на следующих тоже. Сейчас этот паренёк — мой муж уже восемь лет. Он могуч и бородат. Если что-то идёт не по-моему, или мне что-то хочется, а он не разрешает или не даёт, я шантажирую его тем, что расскажу нашим друзьям про первое свидание. И всё — муж сдаётся! Я, конечно, никому это не расскажу, но мне нравится шантажировать моего засранца!   "
DISGUST,overhear,vk,"Подогрела себе сосисочки. «Ну что же может быть лучше после тяжёлого рабочего дня?» — подумала я. Что-то твердое попалось; выплюнула в руку, а там огромный, блять, кусок ногтя, покрашенный розовеньким лаком. Сосиски больше не ем.   "
DISGUST,overhear,vk,"У нас в садике в компоте всегда плавали гусеницы, потому что никто не перебирал сухофрукты. Мелкие такие, белые, жирные червячки. Мы даже соревновались, кто больше выудит из стакана. Травма не выросла, компот пью. Правда, сухофрукты не слишком люблю, так их никто не любит.   "
DISGUST,overhear,vk,"Конец 80-х, первый класс, я такая восторженная девочка-цветочек в форменном платье и бантах иду на перемене по коридору, а навстречу несётся расхристанный пацан и что-то на веревке крутит. Подлетает ко мне и шмяк этим мне в лицо. И, смеясь, побежал дальше. По лицу сползают кишки и шкурка убитой крысы, кровь на белом воротничке и фартуке. Что дальше было — не помню. Учительница меня отмывала в туалете с мылом, а я рыдала так, что глаза опухли, и нос заложило.   "
DISGUST,overhear,vk,"Любили в детстве с подругами ходить в лес, а там были трубы огромные, был завод, где намывали песок для изготовления кирпича. И мы постоянно лазили и ходили по этим трубам. И одна подруга как-то упала с этой трубы. Говорит, что-то мягкое: упала она на труп уже разложившейся собаки.   "
DISGUST,overhear,vk,"В школьном возрасте думала, что это нормально, что со временем любые стержни покрываются какой-то жёлтой гущей, которую нужно вычищать, чтобы они писать продолжали. Только в старших классах случайно от отца узнала, что он всеми стержнями чистил себе уши. ""И что такого? У меня ушные каналы узенькие, нужно что-то тонкое"". Чёрт побери, нужно именно мои стержни, именно из моих ручек вывинчивать, а потом завинчивать обратно, даже не почистив.   "
DISGUST,overhear,vk,"Соседка после родов увлеклась приготовлением выпечки, тортов и всего разного из теста под заказ. Всё хорошо, деньги в декрете зарабатывает, но она добавляет в тесто своё грудное молоко.   "
DISGUST,overhear,vk,"Пошла в кино на вечерний сеанс. Фильм был супер, а вот «девочки» на ряду позади меня... Сначала они громко разговаривали, ржали, подпевали песням, постукивали ногами, типа танцуют. В конечном итоге одна из них, вероятно от количества выпитого алкоголя, наблевала в ведро с попкорном. О чем, конечно же, сообщила, и что попкорн ей жаль тоже. Нихрена она не вышла из зала, была ужасная вонь на весь зал, но фильм так хотелось досмотреть.   "
DISGUST,overhear,vk,"Любимым занятием в седьмом классе среди мальчишек было харкать или сморкаться в карманы девчачьих курток в раздевалке. Кто-то даже на выходные копил харчу в стакане, а потом приносил в школу и выливал девочкам на волосы. Были скандалы и вызов к директру. Родители ругались между собой. Тогда нам казалось это весёлым. Сейчас понимаю, что это дичь. Даже жалко девочек теперь. Они причёсывались, мыли голову перед школой, а их харчёй обливали.   "
DISGUST,overhear,vk,"Утро, любимый ещё спит, жарю купаты на завтрак. Вдруг припёрло по-большому, решила, что по-быстрому, оставила всё на газу. Сижу на унитазе и понимаю, что халат, в котором я была, одной стороной в унитазе. Матюгнулась, достала, сижу дальше. Закончив, встаю и, ёб твою мать, вся ляжка и халат в говне. Видимо, я насрала на халат, и, когда вставала, всё осталось на мне. Вонь адская, ещё и милый проснулся, тоже в туалет стучится. Прыскаю освежителем, моюсь, халат в стирку. Еще и купаты, блять, сгорели.   "
DISGUST,overhear,vk,"У меня глисты уже довольно долгое время. Врачи пытаются меня заставить лечиться: выписывают таблетки, направления на процедуры. А я не хочу всего этого. Мне нравится. Нравится прийти после тяжёлого рабочего дня домой, сесть поудобнее и начать вытягивать из задницы этих червячков. Понимаю, что это может плохо кончиться, но те ощущения не сравнятся ни с чем.   "
DISGUST,overhear,vk,"Когда мне было около трёх, я ещё ходила на горшок, и старшей сестре влетело от мамы за то, что мы со средней разрисовали обои. После мама отошла в магазин, с нами остался папа, но он был в другой комнате и смотрел телевизор. Я как раз решила покакать, и старшей сестре пришла в голову идея отомстить. Она дала нам счётные палочки, сказав: ""Если мы их обмажем какашками и проведём по разрисованному месту на обоях, то рисунок сотрётся"". В общем, в нашей комнате решили сделать ремонт.   "
