emotion,source_name,source_type,text
ENJOYMENT,overhear,vk,"В 17 лет влюбилась в рэпера, встречались. Искренне вникала в его тексты, пыталась полюбить его любимых певцов; ездила на рэп-баттлы. Но так и не смогла вписаться в его компанию и жизнь даже спустя два года. Потом был рокер; подстраивалась, как могла: чёрные волосы, пыталась полюбить его музыку, строила из себя рокершу на тусовках. Спустя три года выдохлась. Потом помешанный театрал: снова подстраивалась. Год назад встретила парня без интересов. Мы оба лентяи без пристрастий; я счастлива!   "
ENJOYMENT,overhear,vk,"В детстве мечтала о своём приюте, где были бы различные домашние животные, которым некуда было идти. Когда мне было 11 лет, то моя мечта почти осуществилась. У нас дома были: пёс породы шарпей, морская свинка, попугай корелла, красноухая черепашка, рыбки, и подруги на день рождения подарили хомячка. Счастье! Принцип у нас в семье — все животные вольные, поэтому клетки у них всегда были открыты. И когда я заходила домой, то все сразу бежали встречать меня, и настроение от этого моментально поднималось.   "
ENJOYMENT,overhear,vk,"Летом я встретилась на чудесных три дня с чудесным мужчиной в чудесном украинском городе. За три дня мы сделали практически всё, о чём мечтали. По пути в аэропорт поздно ночью он вздыхал, что единственное, что мы не успели — это чтобы я сыграла на фортепиано для него. На что я сказала: ""Ну, значит не судьба"". Мы приезжаем в пустынный аэропорт, два часа ночи, и прямо у входа стоит фортепиано. Мы в шоке застыли, смотрим друг на друга и поверить не можем: — Да ладно, — сказал он. — Оно нерабочее, — сказала я. А оно оказалось рабочим, и я играла в ночном аэропорту Земфиру ""Хочешь"", ""Реквием по мечте"", Шопена, Чайковского. У меня даже нарисовались сонные слушатели, а мужчина мой тогда влюбился навсегда и безвозвратно. Простились и разлетелись по разным странам. Волшебный момент.   "
ENJOYMENT,overhear,vk,"Самое невероятное ощущение, которое я испытывала в своей жизни, не дайвинг, не прыжок с парашютом, не езда на огромной скорости. Я трогала руками листья на самой верхушке высоченного тополя, пролетая над ним на воздушном шаре! Самый-самы верх кроны. Вот никогда не забуду это чувство — погладить дерево за макушку!   "
ENJOYMENT,overhear,vk,"Однажды я нашла небольшую подработку в одном издательском центре. Мне нужно было разложить журналы по году выпуска, а лишние выбросить. Очень увлеклась и не заметила, как прошло пять часов. Директору центра очень понравилась работа, и он, помимо обещанных 2000 рублей, разрешил взять три любых предмета из шкафа, который стоял в зале. Открыв шкаф, я увидела море люксовой косметики, которую никогда не могла себе позволить. Надо было видеть, какой счастливой я вышла из этого офиса.   "
ENJOYMENT,overhear,vk,"Когда мне было 16  лет, умер волнистый попугай, которого подарили родителям в день, когда я родилась. Два дня я плакала, не переставая, просто физически не могла остановить слёзы. С тех пор мне было больно даже думать о попугаях. И на 21 День рождения мой парень подарил мне птенца жако. И, боже, как я жалею, что бегала даже от мысли о попугае все эти годы! Парень уже в шутку ворчит, что ревнует. Но это нереальное чувство, когда я каждый день как на крыльях лечу домой, зная, что там меня ждёт мой пернатый бро)   "
ENJOYMENT,overhear,vk,"Недавно с парнем произошёл довольно серьёзный конфликт. Думали, что это всё. К счастью, помирились. Засыпали в обнимку, и мне приснился он. Во сне я не была с ним знакома, но выбрала его среди кучи других незнакомых людей. Помню, как обнимаю его во сне и чувствую — моё, родное. Просыпаюсь, а он рядом и так же обнимает меня. И так же хорошо. Я никогда в жизни не испытывала такого чувства счастья. Когда самый лучший сон — реальность.   "
ENJOYMENT,overhear,vk,"У меня было два пути: остаться в своём городе или уехать в лучший в России. Я выбрала второй вариант, оставив мужа и мини бизнес. Не жалею ни о чем: одиноко и грустно было только первое время, но сейчас я понимаю — я впервые свободна и делаю то, что хочется; работаю тем, кем нравится; читаю книги, вяжу смешные шарфы. Мне абсолютно повезло, ведь детей мы не успели завести, и сейчас я понимаю, что просто избавила нас обоих от ненужных нам людей. Убеждена, что никогда не нужно себя заставлять.   "
ENJOYMENT,overhear,vk,"Каждый раз, когда с утра просыпаюсь с бодуна, меня почему-то больше всего радует то, что у меня нет собаки, и что я не вынуждена в таком состоянии её выгуливать.   "
ENJOYMENT,overhear,vk,"Давным-давно посмотрела фильм «Мгновения Нью-Йорка», и мне безумно понравились футболки на героинях «I *сердце* New-York». С тех пор, где бы ни побывала, покупала себе футболку «I *сердце* …». Собралась целая коллекция, но той самой заветной футболки так и не было. Спустя десять лет. Рождество, Бруклин, отель, и я перед зеркалом сижу в самой крутой футболке в моей коллекции. Абсолютное счастье!   "
