emotion,source_name,source_type,text
FEAR,overhear,vk,"Я ничего не знал о казино до 23 лет. Учился в институте, попутно работал торговым представителем. На фоне сверстников был вполне успешен. Фирму развалили учредители, за учебу нужно было платить. Устроился крупье. 25-летие я встречал в колонии — два года за растрату. В день освобождения первым делом зашёл в казино и оставил там все, что заработал в тюрьме. Сейчас мне 38. Ни семьи, ни детей. Дважды терял взаимную любовь. Есть нормальная работа, но все уходит на долги, и снова в игру. Худший порок.   "
FEAR,overhear,vk,"Интересно, о чем думают люди, которые знают, что они умрут. Ход мыслей, когда они одни. У моих вторых родителей метастазы. Последний год для нас. Смотреть, как они угасают, — как телефон с минимумом зарядки: дисплей уже не настолько ярок, некоторые функции работают в экорежиме, а многие уже отключены. Но если поставить на зарядку, то он опять играет красками. А тут нет подзарядки, её просто не существует. Я не знаю, кто угаснет вперёд, я не знаю, кому из них на данный момент нужнее моё внимание. Люблю их.   "
FEAR,overhear,vk,"Живёшь и не думаешь, что это может тебя коснуться. Ты не наркоманка и не ведёшь разгульный образ жизни «во всех смыслах», но... у меня ВИЧ. Заразил любимый человек. Он им заразился до меня и не знал, что он у него есть. Не виню его, от этого давно никто не застрахован. Живем вместе и любим друг друга, но каждое утро начинается с вопросов: «Как так? За что? Почему? Как жить?» Смотришь на его любимое и красивое лицо и думаешь: «Почему мы?» Мне безумно страшно и обидно.   "
FEAR,overhear,vk,"Девятилетняя племянница попала под машину и умерла накануне своего Дня рождения. Подарок-игрушку, которую для неё купила и упаковала, я решила подарить её семилетней сестре на Новый год, чтобы не пропадал. Второго января она сильно простыла, легла в больницу с воспалением лёгких, где игрушку украли. Её соседка по палате, у которой нашли игрушку, скончалась через день. Я начинаю верить в проклятия, хотя это самая обычная плюшевая собака, даже не клоун.   "
FEAR,overhear,vk,"У моей мамы проблемы с головой. Это не просто моё мнение, ей по рецепту выдают бесплатно лекарства. Может сказать что-нибудь, а через несколько минут говорит, что ничего не говорила — это мне показалось. Прячу от неё ценные вещи и документы, но документы на жилье она уже успела куда-то деть. Страшно жить с ней в одном доме.   "
FEAR,overhear,vk,"Нас было шестеро. Компания городских мальчишек, приезжавших летом на каникулы в деревню к бабушкам и дедушкам. Я и Сашка были младшими, мне — девять, Сашке — семь. Все вместе на рыбалке, на длинной мостушке, уходящей с берега в реку. Сашка с нами, потому что с нами его старший брат. День к вечеру, решили идти по домам. Мы с Саньком были очень дружны, за разговором покидаем мостушку последние. Я замешкался со снастями и понимаю, что не просто не слышу голоса Сашки, а вообще тишина стоит прям гробовая. Обращаю внимание, что вместо моего младшего товарища в мостушке дыра. Я бросаюсь к ней и вижу прям киношную картину, как Сашка уходит ко дну, тихо и спокойно развивая своими русыми волосами. Картина яркая и завораживающая... Ныряю сбоку от пролома, добираюсь до Сашкиных волос, тяну их к себе, перехватываю его подмышки, всплываем вместе к воздуху... На берегу ребятам соврали, что случайно упали в реку. С Сашкой стали дружны еще сильнее. А через год Сашу убила молния.   "
FEAR,overhear,vk,"Когда я была в начальной школе, лет 8-9, нам в школе показывали фильмы о пожарах, Чернобыле. Фильмы со всеми подробностями: ожоги на 80% тела, спасатели, которые работали в ночь трагедии, дети, которых ударило током. Я не могла это смотреть и слушать, но громкость была слишком высокая, а если преподы видели, что кто-то не смотрит — ругались на нас. Как тогда, так и сейчас мучает меня только один вопрос: какого хуя это показывали детям, сука?!   "
FEAR,overhear,vk,"Работала в букмекерской конторе сутки через сутки, часто после смены и к нотариусу приходилось бегать, и к чёрт его знает кому ещё, оформляя наследство. Уматывалась ужасно, вспоминать больно. Однажды наконец-то легла спать, сквозь сон слышу, как в замке кто-то ковыряется, в подъезде шумит. И вот не было сил испугаться — пусть хоть убивают, лишь бы не будили. Так и заснула.   "
FEAR,overhear,vk,"Лет в восемь приехала отдохнуть к бабушке в село, зарядили дожди. Как-то в непогоду вышли мы на крыльцо подышать. И все было круто целых минуты три, пока на росшую во дворе старую сливу не шандарахнула шаровая молния. Не такая, о которых рассказывают, что в форточку влетела, а диаметром больше двух метров, серебристо-белого цвета. Она каталась по двору и рассыпалась на прутья, потом исчезла. По двору и крыльцу была разложена танковая списанная резина, и она оплавилась.   "
FEAR,overhear,vk,"В детстве отец очень много пил, дрались с мамой и постоянно скандалили. Теперь я замужем, а все праздники для меня — это ад. Я очень боюсь людей, которые даже немного выпили, а на всех праздниках семья мужа выпивает. Мне становится жутко некомфортно и страшно. После каждых таких вечеров чуть ли не истерика. Хожу к психологу, но пока никаких продвижений нет.   "
