emotion,source_name,source_type,text
STARTLE,overhear,vk,"Однажды, будучи на работе, узнала, что знакомая семья из трёх человек (мать, отец, дочь) погибли в ДТП. Была семья, и в один день их не стало. Подходит коллега, я, еле сдерживая слёзы, поделилась с ней о случившимся. На что мне было сказано: «Не плачь. Это жизнь». На следующий день в кабинете происходит рассадка. Реакция коллеги: истерика, плачь в туалете на протяжении часа, готова была писать заявление на увольнение, лишь бы не пересаживаться. Зашибись. Трагедия вселенского масштаба.   "
STARTLE,overhear,vk,"Очень люблю есть поролон, перепробовала многий. Никому не могу в этом признаться, а так нравится его жевать, нравится его вкус. Наверное, могла бы скупить все губки, чтобы хранить дома и постоянно трогать, нюхать и жевать.   "
STARTLE,overhear,vk,"Моя знакомая влюбилась в женатого и бездетного. На все попытки соблазна он реагировал холодно, поэтому она пошла к его жене, подружилась с ней и предложила стать суррогатной матерью их ребёнку. На мой вопрос: ""Зачем?"" — ответила, что он будет с ней трахаться, пока она не забеременеет, а она даже на это готова, лишь бы с ним переспать. Когда я объяснила, как происходит оплодотворение для суррогатного материнства, она заревела и отправилась разрывать контракт.   "
STARTLE,overhear,vk,"Я взрослый человек, но, когда я читаю книги, не понимаю их. Как будто просто набор слов — ничего из этого не откладывается в голове, никаких воображений, картин. Словно я пропадаю куда-то, когда читаю. Не могу сказать хорошая книга или плохая, я их просто не понимаю. Читала разные книги от классики, фантастики до детских рассказов. Тоже хочу наслаждаться чтением, представлять героев, сюжеты.   "
STARTLE,overhear,vk,"Недавно родила девочку. Приехала свекровь со своим братом, чтобы повидать внучку, и привезли с Крещения воду из речки (омыть ребёнка). Свекровь держит её на руках, умиляется и через каждые две минуты плюёт на неё, видимо, какая-то примета. Брат спрашивает: ""Можно поцеловать ребёнка в лобик?"" И свекровь выдаёт: «Нечего свои бациллы ребёнку передавать!» Я — атеист, ничего не сказала, но про себя посмеялась над логикой. Воду вылила.   "
STARTLE,overhear,vk,"Я не чувствую того, что хочу по маленькому в туалет, и это большая проблема для меня. Я часто писаюсь по ночам, если не заставляю себя сходить в туалет перед сном, днем тоже хожу «на всякий случай». Не знаю, как этому воспрепятствовать, врачи разводят руками.   "
STARTLE,overhear,vk,"Моё рабочее время — это весна и осень, из-за этого сменила кучу работ. Стабильно, отработав это время, я увольняюсь с первым снегом или с цветением черемухи, потому что вся зима выделена на безделье, а лето на веселье и каждодневный праздник. Это не моя воля, просто если получается иначе, то впадаю в ужасную депрессию и бессилие, ненавижу все вокруг и чувствую, что мимо проходит моё удовольствие и жизнь, а это недопустимо.   "
STARTLE,overhear,vk,"Я врач, у меня три работы, кроссфит четыре раза в неделю, муж, дом, куча родственников и подготовка к IELTS. В моменты слабости я включаю внутреннего Виталика — это волосатый, грубый и мускулистый мужик, в которого я превращаюсь в мыслях, что придаёт мне сил. У него есть прототип, который долгое время был моим фетишем, и частенько его представляла в постели. Ох, какие ж я оргазмы ловлю, когда его представляю.   "
STARTLE,overhear,vk,"На первом курсе дружила с одной девушкой. Сама по себе она была неплохой, только была у нее одна странность: она чуть ли не на каждом углу орала, что девственница. Хотя многие знали, что это не так. За год ее половина этажа переебала, а она все приговаривала, что может стать донором крови девственниц. Как-то раз она трахалась с пацаном, пока ее соседка спала на соседней кровати. Сейчас, вроде, успокоилась, парня нашла, устроилась в школу учителем работать.   "
STARTLE,overhear,vk,"Мне на протяжении двух лет приходят на счёт мобильного деньги. Примерно раз в один-два месяца. Суммы разные — от семидесяти до полутора тысяч рублей. Номер у меня не менялся уже больше десяти лет, никто из знакомых не сознается, никакого автопополнения нет, кэшбеков тоже.   "
STARTLE,overhear,vk,"Брат всегда баловал свою девушку подарками. Дорогая сумка, ноут, айфон, духи. Она, в свою очередь, дарила себя в новом красивом белье. Тут брательник пришел к ней на ДР с новой дрелью, привинтил полки, повесил картины, которые давно пылились. А девушка почему-то обиделась, но дрель забрала себе.   "
STARTLE,overhear,vk,"Самый странный комплимент, который я получала — это от стоматологов. Сначала было странно слышать: ""У вас такие пломбы хорошие!"" Сейчас привыкла. На медкомиссии даже позвали всех, кто был свободен, чтобы порассматривать их. Так забавно, вроде, не моё достижение, а восхищаются отчасти и мной.   "
STARTLE,overhear,vk,"У меня есть личный дневник, куда я пишу свои переживания. Месяц назад мой парень прочитал его, но ничего не сказал. Мы просто замяли эту тему. И вот я беру его старый телефон на временное пользование себе, открываю галерею, а там фотки страниц моего дневника, где написано, что я думаю, что он меня не любит и ищет другую, что я боюсь потерять его и стала истеричкой. Зачем он фоткал это? Показать мне? Перечитать потом? Отправил кому-то? Такое состояние, как будто предали.   "
STARTLE,overhear,vk,"У меня ощущение, что моя мама хочет занять моё место в жизни. Мою дочку она зовёт исключительно дочкой; на все праздники, кроме 8 Марта, поздравляет моего мужа, а не меня; даже на мой день рождения тост только за него. Своим знакомым моего мужа представляет таким образом: «Знакомьтесь, это Денис, НАШ муж!» Спрашиваю о причинах такого поведения и прошу так не делать — обижается и плачет, при этом внятного ответа нет.   "
STARTLE,overhear,vk,"У меня был парень, у которого постоянно воняли ноги, даже душ не помогал. Он вроде только секунду назад помылся, а запах всё равно присутствовал. Я этот запах просто ненавидела, но парень мне нравился, и я терпела. Однажды мы принимали душ вместе, и я заметила, что он совсем не моет ноги! На мой вопрос он ответил, что не видит в этом смысла, так как мыло с тела стекает на ноги, и ему не нужно отдельно их намыливать. Так загадка была разгадана, а с парнем мы расстались позже по другой причине.   "
STARTLE,overhear,vk,"Где-то четыре года назад встречалась с парнем. Он был красив, и с ним было интересно общаться. Когда дело дошло до интима, он начал целовать, обнимать меня и тереться о меня. Это продолжалось минут десять, после этого он встал, оделся и сказал, что ему понравилось, и пошёл по делам. А я так и не поняла, что это, чёрт побери, было.   "
STARTLE,overhear,vk,"У меня есть один пунктик в одежде: никаких пуговиц — нигде и никогда, даже потайных, а тем более декоративных с лицевой стороны. Только молнии и кнопки! Благо, фурнитура бывает изысканной и более удобной, чем эти пуговицы. Не смогу купить вещь, если в ней присутствует необходимость ее застёгивать на пуговицы.    "
STARTLE,overhear,vk,"У моего бывшего парня есть фетиш на Pantene, а у меня перхоть от него. Когда я ему об этом сказала, он меня бросил под предлогом, что я, такая шалава, мою для кого-то голову Syoss, а для него не могу Pantene помыть.   "
STARTLE,overhear,vk,"Я, наверное, одна такая дура на свете, которая дожила до тридцатника, но свято верила, что у мужчин в мошонке яички в настоящей скорлупе, типа перепелиных. Именно поэтому их нельзя бить в пах. Господи, как же ржал мой муж, катался по полу, ржал и плакал!   "
STARTLE,overhear,vk,"Селфи-палки — это зло. Пребывая в хорошем настроении, решила запилить красивую фотку. Принарядилась и достала красную помаду из пыльного ящика. Полчаса изворотов с этой палкой и вуаля — хорошее фото готово. Вот только парень не готов был его увидеть. Начались вопросы: ""А чего это такая красивая, кто фоткал? Сама? С палкой? Так невозможно самой сделать фото! Я чувствую, ты мне врешь!"" Охренела так, что и не знала, что сказать. В итоге ещё и была послана к своему ""фотографу""! А вроде адекватным казался. "
STARTLE,overhear,vk,"Мой попугай разговаривал во сне. Он умеет здороваться, смеяться и делать замечания, но вот прошлой ночью он робко произносил: «Не надо, не надо, пожалуйста, не надо». И я не сошёл с ума, это слышала моя девушка тоже. До этого он в темноте всегда мирно спал. Этой ночью будем спать с ночником...   "
STARTLE,overhear,vk,"Начала встречаться с парнем, вроде всё серьёзно. Начали жить вместе. Почти два года отношений. И под новый год он мне заявляет: «Я ещё недостаточно погулял, поэтому я временно от тебя ухожу. Но ты жди, я погуляю годик и вернусь». Мне кажется, он тупее снежинки)   "
STARTLE,overhear,vk,"Как-то гуляли с бывшей девушкой по магазинам, ей приглянулось очень красивое, но дорогое платье, за которое я решил заплатить. Она радостно его померила, расплачивались на кассе, а сзади нас две фифы прокомментировали картину: «Юль, смотри, содержанка». Как только я обернулся, хихиканья тут же прекратились, и они разошлись в разные стороны, а моя девушка стояла уже без лица. Заговорила она со мной только вечером, рассказав о своём бедном прошлом в роли содержанки. Ушла от меня на следующий день.   "
STARTLE,overhear,vk,"В школе была отвратнейшая училка по рисованию, которая напрочь отбивала все желание брать карандаш в руки. Тема урока: 23 февраля — открытка для папы. У меня нет отца, так что написала ""дедушке""; двойка. Тема урока: Новый год — рисую, как всей семьей едим торт. Двойка — елки нет; а елка у нас в другой комнате. Тема: мой питомец. За неимением такового, рисую голубя, которого подкармливаю. Двойка — это не питомец. Как ни странно, обошлось без детской травмы, и рисовать люблю до сих пор.   "
STARTLE,overhear,vk,"Есть у меня видео моего утренника в детском саду, а начинается это видео с девочки, которая ест свои козявки. Причём видео снимали и монтировали взрослые: могли бы и пожалеть ребёнка.   "
STARTLE,overhear,vk,"Ненавижу огурцы. Мама с детства маниакально совала в нас огурцы во всех его проявления. Огуречный сок, огуречный суп, пюре из огурца, котлеты из огурца, каша рисовая с огурцом, компот и варенье из огурца. Но это все цветочки. Самый трэш это ""волшебный тампон"" из огурца в анус при простуде и ""великое"" стояние босыми ногами на огурце целый час каждое воскресенье. Как же я понимала отца, который сбежал от нее и общался только с нами на дистанции. Жаль, суд запретил жить с ним постоянно.   "
STARTLE,overhear,vk,"У моего парня есть чокнутая поклонница. Лет шесть назад общался он с одной особой пару недель, она ему не понравилась и он свел общение на нет. Вот только дама не унималась и не унимается до сих пор. Его достать она уже отчаялась, ее жертвы — его девушки. Выслеживает она меня во всех возможных соцсетях, создает по несколько страниц, в блоке их у меня уже немерено! Пишет различные гадости, причем мотивы ее не ясны: у нее есть ребенок, муж. Страшно, ибо не знаешь, чего от нее ожидать.   "
STARTLE,overhear,vk,"Однажды побывала на немного нетипичной выставке, посвященной всяким вибраторам и прочим секс-игрушкам. Туда было так просто не попасть, пошла под чужим именем через подругу. Выдумала себе историю на всякий случай, зачем я там и почему. Краснела, наверное, как рак, но поболтала, поспрашивала, подержала в руках, ушла оттуда с покупками. Больше всего надо мной ржала мама, которая перед этим сама убеждала меня съездить туда и глянуть. Говорит, прикольная выставка, сама бы сходила)   "
STARTLE,overhear,vk,"Для меня запах — это не только аромат, но и своеобразный язык, говорящий только правду. Так, например, от бывшего стало пахнуть кислятиной в один момент — изменил, от подруги тухлым — предала. Но самое интересное, что эти запахи чувствую только я, а они нет, и для всех остальных они очень приятно пахнут. И ведь все пользуются духами/кремами, но естественный запах я ощущаю сильнее.   "
STARTLE,overhear,vk,"Была за границей по делам, и отец меня попросил привезти в подарок хорошие духи для его любовницы. Ну ок. Покупаю дорогой нишевый парфюм, красиво его упаковываю и при встрече передаю ему. Через несколько часов пишет: «Запах ей не понравился — сказала, мол, откуда у твоей дочери нашлись $20 на покупку этой дешёвки, что даже жена твоя таким не будет пользоваться, так что отдай обратно, откуда их получил, — то есть мне». И я, и он в тихом ахуе. Даже не знаем, кого из нас троих она оскорбила больше.   "
STARTLE,overhear,vk,"Когда гуляю, всегда выбираю безлюдные улицы, чтобы можно было, представляя себя героиней историй, разыгрывать их с самой собой. Посмотрев хороший фильм, стабильно представляю себя его героиней. Придумала уже десяток историй про себя в главных ролях и разыгрываю их, пока никто не видит и не слышит. Не понимаю — это психиатрия или мне пора уже книги писать…   "
STARTLE,overhear,vk,"Начала отношения с женатым мужчиной: сразу об этом не знала. Потом, когда всё узнала, стало любопытно посмотреть на его жену. Мало того, что её зовут так же, так ещё и похожи как две капли воды: причёска, фигура, лицо, манера общения... До сих пор не поняла, что это было и зачем.   "
STARTLE,overhear,vk,"Подруга поделилась семейной тайной: «Моя мать вышла замуж, но зять (мой отец) не нравился теще. Поэтому когда бабушка приходила, мама прятала папу в шкафу.» Бабушка жила в том же доме и приходила каждый день, часто ещё и ночевать оставалась. Папа подруги практически постоянно жил в шкафу.   "
STARTLE,overhear,vk,"Мой молодой человек из Аризоны, его хобби — огнестрельное оружие. Я устроилась на новую работу, которая очень рано начинается, и приходится вставать в пять утра, что мной воспринимается позитивно. Парень поддерживает, обещает будить по утрам блинчиками по приезде, а я всегда шучу, что лучше пусть возьмёт одно из ружей и застрелит. И всё бы хорошо, но вот его маман, которая увидела нашу переписку, убеждена и убеждает всех, что я суицидница, и его нельзя отпускать ко мне, так как посадят.   "
STARTLE,overhear,vk,"Всегда с собой ношу презерватив на случай изнасилования, чтобы вдруг не заразиться чем-либо и не забеременеть. Даже не знаю: мыслю слишком оптимистично или наоборот?..   "
STARTLE,overhear,vk,"Вышла замуж за турка, переехала; женаты два года. Мне иногда хочется, чтобы к нам пришёл инспектор с проверкой, задавал вопросы: правда ли живём вместе, где и как познакомились. Чтоб просил назвать имена родственников, любимые блюда и так далее; опрашивал соседей. Но Турция — не Америка и местное гражданство — не Грин-карта.   "
STARTLE,overhear,vk,"Моя жена прицепила на туалетный кружок какую-то мягкую хрень сверху. Теперь, когда хожу по-маленькому, надо кружок держать рукой, чтоб не упал. Уговоры снять, не помогают; пришлось научиться писать сидя.   "
STARTLE,overhear,vk,"В нашем подъезде жильцы часто оставляют ненужные вещи — одежду, книги, диски. Иногда отдают красивые вещицы, вроде шкатулок, статуэток, посуды. Я смотрю на них, но никогда не беру. Почему-то мне кажется, что они прокляты, и таким образом от них пытаются избавиться. Иначе зачем отдавать такие хорошие вещи?..   "
STARTLE,overhear,vk,"Многое пережили вместе, наши семьи очень дружили. Вместе покупали недвижимость, хоронили близких людей, ни у кого даже не возникало сомнений, что мы поженимся. И вот после 5 лет отношений — расстались. По-прежнему хорошо общаемся, но как брат и сестра. И вот, спустя год, он приглашает меня на свадьбу. Не позвать не мог, а я не пойти не могу. Но не покидает чувство, что этой девушке я испорчу праздник своим присутствием, так как бывшая, в каких бы отношениях ни были — и есть бывшая...   "
STARTLE,overhear,vk,"Я обладательница пышной груди, и мне крайне проблематично подобрать бельё. Так я нашла способ примерять бюстик без примерки! Просто прикладываю его чашкой на голову, и, если удобно, значит, мой размер. Ещё ни разу не ошиблась.   "
