,emotion,source_name,source_type,text
0,disgust,overhear,vk,"Учусь в другом городе. И одна из причин, почему я редко бываю дома, — мои родители — свиньи. Бабушка может по две недели не мыться, под ногтями грязь, она облизывает ложки и кладёт в ящик; на кухне вечно висят грязные жирные тряпки, чашки никто не моет, на них слой налета от чая. Кошачий лоток никто не чистит. Отец ест руками, плямкая и скрипя зубами. Зубы, кстати, они тоже не чистят. Я живу в общаге, и здесь с тараканами чище.   "
1,disgust,overhear,vk,"Проработав больше пяти лет на ""скорой"", меня тошнило всего один раз. Мужчина, приехав с мест лишения свободы, решил свести счёты с жизнью. Способ выбрал дешёвый, но действенный — выпить йоду. Выпил, опомнился, сам вызвал СМП. Собирая анамнез, спрашиваю: — Слушай, ты когда выпил, тебя вырвать должно было, сколько вырвало? — Не знаю, меня вырвало, а чтобы до конца дело довести, рвоту свою выпил. Тут-то у меня и подкатило...   "
2,disgust,overhear,vk,"Работала когда-то массажисткой, и самый запоминающийся случай произошел с довольно симпатичным мужчиной, пришедшим на массаж головы. В течение часа под мои ногти забирались большого и маленького размера вши, из-за чего я несколько раз ходила мыть руки. Так противно мне не было никогда, а указать на это мне было безумно стыдно. После молодой человек попросил мой номер, но, вспомнив его голову, я отказалась.   "
3,disgust,overhear,vk,"В школу ездила на автобусе. Час пик, весна, уже жарко днём, но все в куртках. Ехать далеко, кое-как протиснулась на место у прохода, надо мной девушка стоит. То ли от жары, то ли укачало — девушку начинает тошнить. До двери далеко, толпа народа, ее тошнит в кулак... и она это глотает обратно. Прямо над моим ухом — краем глаза всё это вижу. И едет дальше, как ни в чем не бывало. Лет 15 не могу забыть это.   "
4,disgust,overhear,vk,"В детстве была привычка грызть ногти. Моя бабушка, страдающая шизофренией, все время предлагала мне погрызть ей ногти. Мылась она редко, и на ногах был грибок. Однажды проснулась от того, что она пихает мне свою ступню в рот. Больше мы к бабушке в деревню не приезжали...   "
5,disgust,overhear,vk,"Пара. Сижу и с очень важным видом слушаю лекцию, на первый взгляд очень сосредоточен. Другие студенты смотрят на меня, и никто даже не подозревает, что на самом деле я просто стараюсь всосать в рот свою соплю, которая застряла.   "
6,disgust,overhear,vk,"Свекровь у меня с ебанцой. В туалете воняет. Освежитель она не любит, мол, химия. Воняет говном всегда. А потом я увидела пакет с какашками кошки за коленом унитаза! Она их копит! Когда много, то выкидывает. Ёршик тоже отсутствует. Моет туалет щёткой для посуды. Чуть ли не руками. А щётку потом хранит под ванной.  "
7,disgust,overhear,vk,"Люблю несколько дней не чистить зубы, чтобы потом счищать мягкий налёт и есть. А самый кайф — это найти зубной камень, отковырять его металлической пилкой и сгрызть. Хрустит очень прикольно :)  "
8,disgust,overhear,vk,"В детстве часто ездили с семьей в село. И была у меня там подружка. Как-то пошла я к ней в гости, мы играли, потом мне захотелось в туалет, а он, как обычно в сёлах — на улице, на огороде. Да к тому же ещё и туалетной бумаги не было. Я попросила подружку принести, а она выдает: ""А ты как я, поищи в ведре с использованной(!) самую чистенькую и ей воспользуйся"". Я была в шоке.  "
9,disgust,overhear,vk,"Долгое время страдала молочницей. Бывший парень, когда мы еще жили вместе, запрещал лечиться, выбрасывал мои свечи и антибиотики, не давал, банально, соблюдать гигиену два раза в день только потому, что ему нравится этот кисловатый запах, что исходил от меня во время болезни. Больше всего ему нравилось вводить в меня пальцы, а после обнюхивать их и слизывать эти творогообразные выделения. Говорил, что в такие моменты я пахну настоящей женщиной.  "
