,emotion,source_name,source_type,text
0,distress,overhear,vk,"Ехала с работы домой, планировала в магазин зайти, ибо дома шаром покати. Выходя из маршрутки, нехило приложилась коленом об лёд, испачкала пуховик. К черту магазин, едва домой дохромала, лежу на диване. Еды нет, вина нет, лекарств тем более. Нога болит, позвонить совершенно некому. Мимо прошёл таракан. Одиночество, мать его. Так себя жалко стало, разревелась...   "
1,distress,overhear,vk,"Работаю в очень известном заведении, бармейд, отлично выгляжу, общительная, начитанная, начальство, подчиненные, гости восхищаются мной, поклонников много (с работы, естественно). Но стоит мне выйти с работы, превращаюсь в абсолютного мизантропа. Отвергаю все свидания. Сижу дома, пью и смотрю фильмы, сериалы. Любое общение вне работы отвергаю. Мне уже 27. Ни разу не было серьезных отношений. Мне одиноко и страшно. Очень одиноко.  "
2,distress,overhear,vk,"Мне нужен человек, с которым можно шутить! Я устала! Сарказм принимают за чистую монету, шутишь над собой — ""да ты что, все будет хорошо"". Если над ними — обижаются. Черный юмор — табу. Да, есть среди друзей люди, понимающие английский тонкий юмор, есть и парочка любителей ""тупого американского"", и мастера сарказма. Но это разные люди, а я не хочу переключаться! Мне нужен ультраюмористичный человек...   "
3,distress,overhear,vk,"Мне 20 лет. И так вышло, что по состоянию здоровья не могу выйти из квартиры. Получается крайне редко (раза два в месяц). И так уже последние три года. И так грустно вечером выглядывать в окно, «гулять» глазами по дороге, мечтать о том, чтобы сходить куда-нибудь. Хотя бы просто в магазин.   "
4,distress,overhear,vk,"Давно хотела купить себе полароид — с ним очень красивые фотографии получаются. И вот купила его и картриджей, шла домой в предвкушении, что скоро наконец-то пофоткаюсь на полароид. Дойдя домой, поняла, что у меня нет ни одного человека, который бы мог меня пофотографировать. Совсем ни одного. Сижу, плачу.   "
5,distress,overhear,vk,"Страдаю от недостатка любви. Вроде и друзья есть, да и вообще все благополучно, родители всегда поддержат, все классно. Но! Уже как года два чувствую себя покинутой и никому не нужной: друзья и подруги переженились все, видимся редко; раньше сама делала первые шаги в отношениях, а сейчас устала, и как оказалось, если сама шаг не сделаешь, то так и сидеть тебе одной. Да ещё и переехала — родители теперь далеко. Это очень грустно, вдруг осознать в свои 24 года, что абсолютно никому до тебя нет дела...   "
6,distress,overhear,vk,"Девушка, 27 лет, не была замужем. Поняла, что что-то идет не так, когда от скуки и безнадеги согласилась пойти в кино с женатым командировочныммужиком, имеющим двоих детей.   "
7,distress,overhear,vk,"Больше всего в жизни я боюсь одиночества. Две моих самых близких подруги вышли замуж и перестали со мной общаться. Для них парень заменил дружбу, длиной в 15 лет. Три члена моей семьи умерли за этот год. Нормальных отношений никогда не было. Я всегда была душой компании, а сейчас мой самый большой страх — умереть в одиночестве, когда не будет даже мамы. Кажется, что жизнь бурлит у всех, кроме меня. Страшно, мне ведь всего 22.   "
8,distress,overhear,vk,"Мы приходим в этот мир одни и уходим также. С каждым годом мне кажется, что, кроме собак, никто мне не верен.   "
9,distress,overhear,vk,"Будучи в школе, мечтала о роботе, который выглядит как человек, который был бы мне другом, потому что у меня никогда не было настоящих друзей. Сейчас мне 23 и до сих пор мечтаю о том же: друг на час, или Искусственный интеллект, как в фильме ""Она"", с которым можно общаться. Что угодно и кто угодно, чьё время и общение ты можешь купить. Потому что я никому не интересна, а потребность в общении, увы, никуда не делась.   "
10,distress,overhear,vk,"Живу одна. Как-то раз возвращалась очень уставшая с учебы. Подхожу к подъезду и машинально набираю номер квартиры, в которой раньше жила с родителями. Жду, жду, понять не могу, в чем дело, почему не открывают. И тут мне из домофона отвечает такой же заспанный и уставший голос: ""Кто это?""""Я"" — бормочу, и дверь подъезда открывается. Только дойдя до квартиры, поняла, что что-то было не так...   "
11,distress,overhear,vk,"Самое страшное в одиночестве — к нему привыкаешь. Это, как наркотик. Сначала приглашаешь друзей почти каждый день, потом раз в месяц, а через год сидишь в компании, и ломка начинается от того, как хочется скорее в свою уютную берлогу, приготовить поесть, завернуться в одеяло и чувствовать себя в безопасности. И это страшно, потому что теряешь связь с миром, шансы завести отношения, вообще интерес к реальной жизни. А самое страшное, что всего этого хочется, но привычка к одиночеству сильнее.   "
12,distress,overhear,vk,"Самое тяжёлое в одинокой жизни — это то, что о тебе некому позаботиться даже во время болезни. Прихожу с работы уставшая, ныряю в постель, состояние как с тяжелого похмелья. Вдобавок есть дома нечего, потому что ты устаешь каждый день — готовить нет сил. А к выходным ты падаешь с жуткой ангиной, в итоге не ешь несколько дней, за лекарствами сходить некому, покормить некому.   "
13,distress,overhear,vk,"Одинока настолько, что жду уже даже не сообщений в мессенджерах или ВК, а ответов в ""Подслушано"", ибо это единственное место, где хоть кто-то со мной общается...   "
14,distress,overhear,vk,"В молодости женился на замечательной любимой. Родила мне сына, которого любил и мечтал сделать для его развития и воспитания все, что можно. Через пять лет начались скандалы. Следующие пятнадцать лет порывался уйти, но для ребенка решил сохранить семью. Сейчас он сам уже женат, а я не нужен ни сыну, ни жене. Да, собственно, никому не нужен. Сам виноват, знаю.   "
15,distress,overhear,vk,"Настолько одинока, что небольшую часть подушки, на которой сплю, намазала мужским гелем для душа, чтобы было хотя бы ощущение мужского присутствия...   "
16,distress,overhear,vk,"Как-то приехала в Питер по делам. Набегалась, намёрзлась. Захожу в ресторанный дворик. Заказываю перекусить, в том числе и кофе. Потом уже иду к столику, снимаю верхнюю одежду. Сажусь, так тепло и уютно мне никогда не было. Но там, в том кафе, я поняла, что кроме меня у меня никого нет. Иначе бы я не сидела здесь одна. Зато знаю, что одиночество у меня по вкусу — капучино без сахара с видом на серый Петербург.   "
17,distress,overhear,vk,"Очень сильно заболела. Родители и близкие переживают, бегают вокруг меня. А мне не хочется из-за этого выздоравливать. Ведь тогда все вернётся на свои места, и я снова буду просто человеком. Никому не нужным человеком.   "
18,distress,overhear,vk,"Часто придумываю себе собеседника и говорю с ним в голове, когда хочется выговориться, а некому. Доходит до того, что, когда заговорюсь с ним, накладываю нам две тарелки еды или пересматриваю видео в интернете, которые давно видела, потому что ""надо же и ему показать"".   "
19,distress,overhear,vk,"Люблю участвовать во всяких опросах, так как кажется, только там я могу почувствовать себя важной, ведь интервьюеры практически всегда говорят «нам важно ваше мнение»...   "
