,emotion,source_name,source_type,text
0,excitement,overhear,vk,"Мой муж алкоголик. Он знает, что пить ему нельзя, что после очередного срыва будет куча проблем и в семье, и на работе, и со здоровьем, но нет, нет все равно срывался. Мои слезы, уговоры, разговоры не давали особо результатов. И я поменяла стратегию. Я забила на этот его косяк, а всю энергию направила на себя. Похудела, привела себя в порядок, продвигаю себя по карьере, про дом и обязанности тоже не забываю. И вот скоро год, как он не пьёт, ждём второго ребенка. Дай Бог и дальше так будет.   "
1,excitement,overhear,vk,"Переезжала в соседний город, закупаться дешевле оказалось в родном городе. Пошла в магазин бытовой техники: микроволновка, мультиварка, чайник, роутер... Порадовалась, что вышло дешево. Уже за 300 км от места отправления осознала: так дешево вышло потому, что мне забыли пробить микроволновку. Не хотела, чтобы из-за этого кого-то оштрафовали, написала в этот магазин. А мне ответили, что никакую микроволновку они не теряли, ещё и издевательски намекнули на мое осеннее обострение. До сих пор не понимаю, что это было. А микроволновка уже пять лет стоит, работает.   "
2,excitement,overhear,vk,"В шестом классе от дикой неразделенной любви решила я свести счеты с жизнью и выпила какие-то непонятные таблетки в весьма интересной баночке, где значилось, что это снотворное. Сюрприз не заставил себя ждать и, как оказалось, кто-то из родственников пересыпал в баночку еще и остатки слабительного. И, знаете, обсираться и засыпать одновременно действительно заставило меня полюбить жизнь и очистить организм от токсинов.   "
3,excitement,overhear,vk,"Восемь лет назад у моего однокурсника умер отец, оставив четыре миллиона карточного долга. Сыну пришлось продать дом, машину и все драгоценности, и при этом висел ещё миллион. Он попросил меня занять ему 25 тысяч, я тогда был при деньгах и не мог отказать товарищу, оказавшемуся бомжом с миллионом долга. А на днях он звонит мне, после того как шесть лет от его ни слуху ни духу. Я подумал, ещё занять надо. А он отдал свой старый долг! Выкарабкался чудом из того страшного отцовского долга, строит дом.   "
4,excitement,overhear,vk,"Люблю одного малоизвестного американского писателя, который, в свою очередь, очень любит Россию. Часто переносит действия сюда и использует русских как значимых героев. Недавно он выложил пост о том, что наконец прилетел в Россию, а я просто ради прикола написала, что Россия — не только Москва и Питер, и предложила приехать в свой город, сказала, что проведу экскурсию. Но он-таки приехал, так я провела два дня со своим кумиром, очень милый человек. Ему понравилось, особенно горы.   #Подслушано_иллюстрация@overhear"
5,excitement,overhear,vk,"В юности мечтала найти богатого любовника. Не ленилась ходить на бизнес-семинары и тренинги. Тратила на них хуеву тучу денег, чтоб там подцепить заветный приз. В итоге я сама смогла открыть дело благодаря семинарам и тренингам. Тогда так и не нашла ""мешок с деньгами"", но стала им сама.   "
6,excitement,overhear,vk,"Как-то зимой на меня напали и украли телефон. Само собой написала заявление, и был составлен фоторобот. Через неделю после ограбления увидела своих грабителей в гаражном массиве (шла с работы). Они меня узнали и дали деру. Какой же был кайф, когда, сбегая с пригорка, один из них поскользнулся и со всей силы врезался лицом в гараж, скорее всего, сломав себе нос. Телефон по итогу подкинули моим родителям на работу.   "
7,excitement,overhear,vk,"Раньше все время таскала с собой внешний жесткий диск, на котором была куча важной, интересной и, часто, невосполнимой информации, пока однажды не подумала о том, что, если потеряю сумку, все это тоже утрачу, и выложила его. На следующий день какой-то чувак сорвал у меня с плеча сумку.   "
8,excitement,overhear,vk,"В юности моя мама пошла к гинекологу и встретила там свою однокурсницу, ну и стала спрашивать ее, с чем та пришла к врачу. Девушка начала плакать, говорила, что от парня своего забеременела и, боясь его реакции, решилась на аборт, сдает анализы. Парень тот был братом маминой лучшей подруги и человеком-то хорошим был. Короче, мама рассказала все подруге, та брату. Парочка счастливо поженилась и уже больше 30 лет в браке, родили еще одного. Вот такая счастливая случайность.   "
9,excitement,overhear,vk,"Нравился мне один парень, бегала за ним. И он прямым текстом мне сказал, что я жирная и стрёмная, и чтоб, пока не похудею, даже не подходить к нему. Стресс я начала заедать и набрала 7 кг. После чего была сильно унижена им и его друзьями. Решила съездить к подруге в другой город, развеяться. Жила у неё два месяца. Она вытащила меня из депрессии и потащила в спортзал. Прошло три года, сейчас я офигенный фитнес тренер и вчера увидела его: пузатый мужик с жигулём в руках и с такой же бабой рядом.   "
10,excitement,overhear,vk,"С бывшим работали по схожим специальностям. Все шесть лет наших отношений гнобил меня за ""толстую жопу"", называл жирной, все время подкалывал, если я при нем смела есть вкусняшки... Хотя у меня всю жизнь был размер XS и нормальная фигура. Но в итоге расстались, не общались несколько лет. И вот однажды надо было мне по делам зайти в одну организацию. Закончив, решила проведать местный кафетерий, ибо с утра не ела. Становлюсь в хвост очереди, за мной становится кто-то еще — задумалась и даже не обратила внимания, вроде парочка. И мужчина говорит девушке: ""Смотри, — мол, — какая красивая жопа, не то, что у тебя"". Голос я узнала и фразу тоже — любимая его ""шуточка"". Его лицо, когда я, обернувшись, воскликнула: ""Да неужели? Спасибо, что оценил наконец"", — не забуду. Он-то меня не узнал со спины...  "
11,excitement,overhear,vk,"Когда мне было года четыре, я хотела себе в мужья Дональда Дака. Меня все отговаривали, а я, вплоть до истерики, упиралась — хочу и все! Сейчас мне 29, и я замужем за человеком, слов которого никто понять не может. Причём человек очень умный, но вот ни словами, ни на бумаге выразить свои мысли не способен. Только действия.  "
12,excitement,overhear,vk,"Я симпатичная девушка 27 лет. Полгода снимала однушку у молодого парня. Стабильно приходил раз в месяц 23 числа, я отдавала деньги. Когда съехала, он нашел меня в соцсетях и предложил встречаться. Действительно, долго присматривался.  "
13,excitement,overhear,vk,"С подругами собрались в клуб. Все в последний момент, за 2-3 часа нашли причину, чтобы не идти. Так как уже настроилась на вечер, решила не менять планы. Поехала одна. Познакомилась с двумя классными парнями, танцевали до утра. Никаких сплетен, обсуждений, заигрываний перед мужским полом, ждать песню, чтобы всем подружкам понравилась, и лететь на танцпол. Была сама собой. Это был лучший вечер за прошедший год!  "
14,excitement,overhear,vk,"В 25 лет осознала, что живу для других. Мать воспитывала с чувством обязанности ей за все! И я отдавала ей все. Пока не поняла, что сижу в банке и беру в ипотеку квартиру ей. Не себе, ей! Развернулась, ушла, купила шубу, начала встречаться с парнем, повысили на работе. Она ничего не знает. Я — самая неблагодарная дочь, но я счастлива. Совесть ещё грызет, и хочу, чтобы она поняла, но, видимо, не судьба. Это моя жизнь и я хочу жить!   "
15,excitement,overhear,vk,"Как-то встретила знакомого, с которым не виделась лет 10. После этой встречи он пару раз пытался настойчиво меня пригласить на свиданку. Его не смутило, что при встрече я была с ожогом на груди от солярия, опухшая и ненакрашенная после пьянки. И при этом, будучи промоутером, размешивала в вазе растворимые втулки...   "
16,excitement,overhear,vk,"Друзья предложили осуществить мою мечту — прыгнуть с парашютом. Мы немного опоздали на инструктаж, и я не услышал, как надо выпрыгивать из самолета. Так как я был всегда бесстрашной натурой и, насмотревшись в инете на спортсменов-парашютистов, выпрыгнул не ногами вниз, а плашмя. Поток воздуха меня закрутил так, что я был повернут лицом в небо и лицезрел момент раскрытия парашюта. Как сказал инструктор, у меня могло отрезать стропами голову или конечности. Отделался гематомой на плече. Фуф.  "
17,excitement,overhear,vk,"Перед тем, как переехать в другой город, уволилась с работы. Между последним рабочим днём и днём отъезда — чуть больше недели. Решила найти подработку на пару дней, чтобы дома не сидеть, да и деньги лишними не бывают. Подрабатывала у знакомых, которые занимаются цветами. Спустя неделю считаю деньги: за пять дней, пока была безработной, заработала в два раза больше, чем на своей официальной работе, которая тоже неплохо оплачивалась, как мне казалось, пока я там работала.   "
18,excitement,overhear,vk,"В детстве любила смотреть передачи, где рассказывали о том, как снимают фильмы, и о том, что происходит на съемочной площадке за кадром. Вышла замуж за режиссера, и теперь сама помогаю ему на съемках. Мечты сбываются!   "
19,excitement,overhear,vk,"Победой моей жизни было похудение на 33 кг, пока парень мечты был в армии. Парнишка-то оказался на деле последним мудаком, но это не могло перебить радость от осознания того, что я покупаю одежду на три-четыре размера меньше, чем год назад.   "
20,excitement,overhear,vk,"Никогда не была не то что популярной, а вообще хоть сколько-нибудь заметной. В школе травили, в летние лагеря ездить не было денег, во дворе общались только потому, что больше было не с кем. Все компании, какие я только могла собрать, быстро разваливались. Плюнула на общение, начала вкладывать все силы в творчество — стихи писать. Долго не получалось. Сейчас вроде всё более-менее прилично, но всё равно постоянно хочется бросить, потому что кажется, что ерунда. И вот я сижу, думаю об этом, и мне приходит сообщение от совершенно незнакомого человека: ""Здравствуйте, я записал песню на ваше стихотворение"". Ради этого я горы сверну в поэзии!   "
