,emotion,source_name,source_type,text
0,fear,overhear,vk,"У меня было двое детей — дочь и сын на три года ее младше. Сыну было 10 лет, когда дочь умерла — отравилась угарным газом. Трагедия не вызвала у него никаких эмоций: уже через пару часов после страшной новости он спокойно покушал и пошёл играть в компьютер. На похороны идти отказался, ссылаясь на тренировку. В 20 лет он позвонил домой из армии и попросил сестру к телефону, чтобы поздравить с днём рождения. Осторожно сказала, что её уже 10 лет как не стало. Сорвался в истеричный смех и отключился. Спустя год мне наконец разрешили забрать его из психушки домой. Он думает, что ему 10 лет, и всех окружающих людей принимает за свою сестру.   "
1,fear,overhear,vk,"Была как-то на море с мужем, пошли купаться, постепенно начинался шторм, волны стали увеличиваться, а нам прикольно в таких волнах ввысь взлетать! И в какой-то момент я понимаю, что с волной меня выбрасывает вперёд, но потом засасывает ещё дальше назад, и так раз за разом! Я начала паниковать и кричать, что меня уносит. Муж у меня большой и сильный, схватил меня за руку и сквозь волны еле выволок. Даже в воде по щиколотку сопротивление было безумное. Считаю этот день — вторым днём рождения, а мужа — героем.   "
2,fear,overhear,vk,"Возвращалась с работы домой, как обычно мысленно решала бытовые вопросы, как слышу собачий лай — впереди стая напала на мужчину, одна собака вцепилась в ягодицу, другая в руку. Я быстро забралась на крыльцо подъезда, начала кричать как можно более властным голосом и кидаться в собак продуктами из пакета. Они переключились на меня, но я начала пинаться, и псы свалили. Мужчину увезли на скорой с растерзанной ногой. Ох, не так он планировала провести вечер...   "
3,fear,overhear,vk,"В 12 лет жил в сарае, родителей нет, в детдом боялся. Был круг общения, всем завидовал, что есть мама, дом, тарелка супа. Прошло 25 лет, женат, двое деток, большой дом. Поехал к тому сараю. До сих пор моё имя на стене гвоздём написано. Только вот тот круг общения... Кто спился, кто умер от передозировки, кто в тюрьме. Я считал себя единственным ненормальным, а получилось наоборот.   "
4,fear,overhear,vk,"В соцcетях нашёл бывший одноклассник. Ответила на заявку и понеслось. Начал обвинять, что живу в сказке и не знаю проблем, а он такой несчастный, кредит 60 тысяч, не знает, как отдавать, и поэтому пьёт. Не стала говорить о том, что у меня кредит 300 тысяч, скоро меня оперируют, и, возможно, я умру во время операции. Просто вышла из онлайна. Сказка... никому не желаю оказаться героем такой сказки.   "
5,fear,overhear,vk,"90-е, мне четыре года. Отец из-за долгов скрывается со мной и мамой в одной из съемных квартир в Москве. Стук в дверь. Врывается свора бандитов, отца кладут лицом в пол. Меня с мамой держат в заложниках в другой комнате. Отца допрашивают, избивают. Спустя три дня девушка, проходившая мимо нашего балкона, заметила, как там висел листок о помощи, приклеенный моей жвачкой. Если бы не эта девушка и не моя жвачка, то нас бы не было в живых.   "
6,fear,overhear,vk,"Когда мой парень мне изменил, начали лопаться сосуды, и проснулся васкулит. Когда полгода каждый месяц было судебное заседание — начинался ревматоидный полиартрит. Сейчас другие нервяки — и на теле от жесткого соприкосновения остаются красные следы, как от засосов — шалят сосуды. В общем, любой сильный стресс — и организм начинает самоуничтожение, иммунитет отвергает его системы. При этом люди вокруг восхищаются моей стойкостью — не плачу, оптимистично смотрю в будущее и всегда весела...   "
7,fear,overhear,vk,"Однажды я проснулся от того, что на меня легла голая незнакомка. Мечта любого подростка... Нет, всего лишь сбежавшая из лечебницы шизофреничка, которая перелезла через забор частного дома, прошла мимо собаки и забралась ко мне в комнату через открытое окно отдыхать.   "
8,fear,overhear,vk,"Поверила в высшие силы. С мужем долго не могли зачать ребенка, и он иногда шутил, что не помрет, пока не оставит мне малыша. Неделю назад он умер. Остановка сердца. А сегодня я узнала, что беременна.   "
9,fear,overhear,vk,"В тот день, когда я родилась, умерла моя мама. Всё детство я провела с отцом, и это было самое ужасное время в моей жизни. Я прочувствовала на себе всю ненависть, которую человек в принципе может испытывать к своему ребёнку. Я до сих пор просыпаюсь от кошмаров. Месяц назад погиб муж. Из-за стресса у меня начались серьезные проблемы со здоровьем. А недавно я узнала, что беременна. И теперь мой самый огромный страх — если со мной что-то случится, мой ребенок будет жить с отцом. Мне очень страшно.   "
10,fear,overhear,vk,"У меня умерла мама. Я была с ней до последнего, ухаживала. Она мне ни разу не снилась после смерти. Подругам вот своим снилась, даже обидно как-то... Но зато со мной заговаривают все чаще и чаще всякие дамочки 60+, то на остановке, то возле супермаркетов. Никогда не смотрю на них как на сумасшедших, поддерживаю разговор. Вдруг им не так повезло, и им не с кем поговорить вообще. Так и справляюсь с горем.   "
11,fear,overhear,vk,"У меня был друг. Встречался с девушкой лет с 20. Вместе прошли всё: и его отчисление, и её депрессию, хоронили близких. Жениться они в принципе планировали всегда, не было такой проблемы, что друг морозился. Но собрался делать предложение в 29, к этому моменту они добились много из того, что хотели, плюс появились деньги. И вот они на берегу моря, друг делает предложение, невеста от волнения упала в обморок, ударилась о камень виском и умерла. Друг вскоре ушёл вслед за ней.   "
12,fear,overhear,vk,"Я падала в обморок один-единственный раз в жизни. И случилось это от жуткой резкой боли, которую не описать словами, вкупе с шоком. Занимались очень активным и жестким сексом с молодым человеком. Он всё увеличивал и увеличивал амплитуду движений. Я была абсолютно расслаблена, и вот совершенно неожиданно он со всей своей дури, со всего размаха вошёл НЕ ТУДА! Я не знаю, как искры не посыпались из глаз, не знаю, как я вообще жива осталась! Хорошо хоть фобия не развилась...   "
13,fear,overhear,vk,"Почти шесть лет назад поборола анорексию. С помощью специалистов я начала работать над самооценкой и училась любить себя. Это было трудно, это заняло не один год, но в итоге у меня получилось. Я отпустила детские травмы и боль и научилась жить в гармонии с миром. Я полюбила свою жизнь. Я стала счастливой. А сегодня за завтраком я расплакалась, когда поняла, что вот уже полчаса не решаюсь съесть вареное яйцо, потому что в нем много калорий. Страшно.   "
14,fear,overhear,vk,"Страдаю паническими атаками, повышенной тревожностью. В связи с этим не могу уйти из дома, не взяв с собой газовый баллончик, складной нож и молоток. Вы едете в автобусе, а напротив нормальный человек — человек с молотком в сумке. А всё потому, что однажды приступ у меня начался в автобусе, где на положенном месте, под табличкой ""в случае аварии разбить стекло"", молотка не оказалось...   "
15,fear,overhear,vk,"У нас была хорошая семья. Сестра профессионально занималась гимнастикой, закончила хороший ВУЗ и получила работу в крупной компании. Но внезапно ее настигла любовь. Любовь к безработному ПТУшнику, на 7 лет ее старше, который к тому же подсел на курительные смеси. Сестра вышла за него замуж, хотя на тот момент уже четыре года встречалась с другим. Позже выяснилось, что новоявленный муж ещё и распространяет эти ""смеси"", сестра начала помогать ему. Их задержали, дали 13 лет. Не верится до сих пор.   "
16,fear,overhear,vk,"Маразм — это реально страшно. Одна престарелая родственница дожила до 92 лет. В последние годы она просилась в туалет каждые 10 минут, так как тупо забывала, что уже сходила. Другую знакомую старушку штырило, что она молодая девушка, и ее силой выдают замуж. Она орала, что не пойдет. А недавно шла по улице, услышала, как голос какой-то старушки просит принести ей поесть. Глазами искала, но так и не поняла, из какого окна кричала. Вот хз теперь: маразм у нее или реально так немощна, а помочь некому.   "
