,emotion,source_name,source_type,text
0,shame,overhear,vk,"Ехала в маршрутке, ехать далеко, задремала чуток. Тут на остановке открывается дверь, и милый дедок интересуется: ""Места есть?"". Я, открыв один глаз, голосом хозяйки медной горы выдаю: ""Дохера!"". Проснулась тут же, стыдно. Девушка, 30 лет.   "
1,shame,overhear,vk,"Когда училась в школе, жили вдвоём с мамой. Она всегда готовила, придерживалась мнения, что есть надо дома, что это полезно. Я же после школы наедалась всякого говна с друзьями и, приходя домой, выливала суп. Мамы не стало полгода назад, но перед глазами она, уставшая, стоящая у плиты после работы, варящая мне суп, чтобы я ела здоровую пищу. И я, сливающая ее труд в туалет, выбрасывающая котлеты в мусоропровод. Сердце разрывается, не понимаю, как я могла быть такой ублюдиной, стыдно до трясучки.   "
2,shame,overhear,vk,"Работаю барменом в клубе и я всё больше охреневаю от женского пола. Они после пятого стакана теряют человеческий облик, орут, дерутся с охранниками и вообще ведут себя непотребно. Мне стыдно перед мужиками за нас из-за таких как они(   "
3,shame,overhear,vk,"В далеком детстве в доме напротив нашего жил жуткого вида старик. Лицо у него было в шрамах, неопрятный, хромой. Когда я проходил мимо него, кровь стыла в жилах. Так он ещё так пристально смотрел, что непонятно, куда деться под его взглядом. Мы, местная детвора, до жути его боялись, хотя он был безобиден. И вот настал тот день, когда он скончался. После его похорон узнали, что он ветеран ВОВ, герой России и медалей у него до колен. Так стало стыдно за наше к нему отношение.   "
4,shame,overhear,vk,"Как-то летом ехал на машине, и было очень жарко. Дорогу я знал хорошо, и если свернуть немного в сторону, то там было небольшое озеро, с одной стороны лес, а с другой — поле. Решил искупаться, и так как вокруг не было ни души, полез в воду голяком, чтобы трусы не мочить. Минут через 10 приехал грузовик и привёз в кузове женщин, которые работают в поле. Когда уже мокнуть надоело, пришлось выходить из воды, преодолевая стыд, под их аплодисменты.   "
5,shame,overhear,vk,"В детстве дедушка ездил на стареньком ""Москвиче"". Летом они с бабушкой каждый день отправлялись на нем на дачу. И звали меня с собой. Мне было стыдно ездить на этой машине (крутая девчонка в школе не может случайно засветиться на заднем сиденье ""Москвича"" в компании пенсионеров). Вечером они привозили мне ягоды и цветы, выращенные бабулей. Я забирала это все у них и бежала дальше гулять, в лучшем случае буркнув им ""спасибо"". Прошло 15 лет, бабули уже нет, дедушка за рулем не ездит из-за плохого самочувствия, ""Москвич"" давно продан другому пенсионеру. И как же мне хочется бросить свой дорогой кроссовер, завалиться на заднее сиденье этого ""Москвича"", поехать на дачу, собрать ягоды, поболтать с бабулей о жизни... Малолетняя неблагодарная дура. Мне очень стыдно, что не ценила их старания.  "
6,shame,overhear,vk,"Однажды летом ехал в общественном автобусе и увидел, как мне улыбается очень красивая девушка. Надо сказать, у меня поднялось не только настроение, но и детородный орган. Я эту красоту и улыбку наблюдал минут пять, пока на следующей остановке не ввалилась толпа, забив автобус. И получилось так, что меня сильно прижали к впереди стоящему бородатому здоровому мужику, и моя ""шишка"" вошла ему между булок. Когда он повернулся, это было лицо загнанного зверя. Мне было ужасно стыдно, но я же не мог ему объяснить, что стояк предназначается не ему, и, чтобы избежать конфликта, на следующей остановке пулей вылетел из автобуса.  "
7,shame,overhear,vk,"Случилось это два года назад. Два месяца я была с бабушкой и дедом в другой стране. И где-то на втором месяце отдыха бабушка резко начала всё забывать и нести несусветную чушь. Нас с дедом безумно это бесило, мы думали, что она просто дурачится. Я уехала. Бабушке стало плохо. Неоперабельная лимфома головного мозга. Возможности вернуться у меня нет, поддерживаю, как могу, но этот стыд от того, что мы не понимали, что с бабушкой и смеялись – не пройдёт никогда.  "
8,shame,overhear,vk,"Всё время злился на жену за то, что она непонятно куда тратит огромные суммы денег. Не то, чтобы мы в чём-то нуждались, но она учитель, а я программист — главный добытчик в семье, так как у неё доходы небольшие. Пилил её за то, что не понимал, куда можно деть 2000 гривен за день, и так регулярно. А потом заглянул в её ноут по мелочи, увидел незакрытую вкладку и так узнал, что она постоянно перечисляет деньги в благотворительные фонды и на операции людям. Как же стыдно за свои слова. Я никогда в средствах не нуждался, за все 30 лет жизни даже и не думал помогать людям. Теперь понял, что живу с ангелом.  "
9,shame,overhear,vk,"На первом курсе университета влюбилась в музыканта со сказочным именем Елисей из местной группы. Мне 17-18, ему хорошо за 30. Пошла с подругой на их концерт в небольшом кафе. Весь вечер пялилась на ""предмет обожания"", нахлопалась пива и отважилась написать свой телефон на бумажке, но лично отдать смелости уже не хватило. Попросила подругу, и вся ""операция"" прошла крайне неловко. Спустя 10 лет стыдно так, что не только песни этой группы, но и её название слышать не могу!   "
