,emotion,source_name,source_type,text
0,startle,overhear,vk,"В советские времена диаметр папиросы ""Беломорканал"" и диаметр пуль совпадали, чтобы в случае войны можно было быстро переналадить производство. А когда муж систематизировал свою коллекцию охолощенных автоматных патронов, то оказалось, что для них идеально подходят пластиковые поддоны из-под ампул с лекарствами. Патрон четко ложится по длине и ширине, а держатель, который не дает ампуле выпадать из поддона, находится четко на месте вставки пули в гильзу. Совпадение ли...   "
1,startle,overhear,vk,"По долгу службы каждый день сравниваю личность людей с фото в паспорте. Паспорта попадаются разные: и недавно выданные, и старые, 2000-х годов. Замечаю, как время нас меняет. Кто-то худеет, кто-то полнеет, у кого-то во внешности проявляются следы болезней. У меня самой паспорт 2002 года. Смотрю в зеркало и сравниваю. Пиздец, меня, наверное тоже разглядывали бы полчаса, пытаясь найти черты, которым уже 16 лет...   "
2,startle,overhear,vk,"Я учусь на филфаке, изучаю китайский язык. Все мои преподаватели — молодые девушки с фарфоровой кожей. Начинаю задумываться о том, что на практике в Китае им рассказали секрет идеальной кожи китаянок, других объяснений у меня пока нет))   "
3,startle,overhear,vk,"Рассказывал брат. Было это в 90-е, прошёл дождь, переходили они дорогу с друзьями: он перешёл, а друг с девушкой остались на другой стороне, и девушку обрызгала лужой BMW, машина останавливается на светофоре, его друг, не долго думая, берёт арматуру (видимо, рядом лежала) и бьет по капоту. Из машины выходит здоровый ""шкаф"" в кожаной куртке, брат думает: ""Всё, попали"". И тут следующая картина: этот ""шкаф"" подходит к его другу, суёт баксы и извиняется. Наверно, подумал, что тоже из крутых.   "
4,startle,overhear,vk,"Замуж вышла в юности по большооой любви. Однажды у нас сломался единственный кран, денег на сантехника нет, в чужом городе мы одни. Муж почти не зарабатывал и не стремился, но я ж любила, верила! Чинить он даже не взялся, сказал, что не умеет и все. Ушел в баню к мужикам. Я в слезах этот кран крутила, вертела и все-таки починила! После хватило ума с ним развестись, но этот кран стал мерилом адекватности мужиков. Нет денег — чини сам, не умеешь — заработай! Нашла себе нормального, счастлива.   "
5,startle,overhear,vk,"Когда проходила практику в психушке в Израиле, там было несколько молодых и на вид очень адекватных, приятных в общении пациентов, которых сняли в Иерусалиме с ослов. По легенде, Мессия въедет в Иерусалим на осле. И каждый год таких ""Мессий"" снимают с ослов. Задумалась, что если бы Иисус в наше время пришёл, его бы тоже быстро отловили. Да и Мессия так никогда и не придёт, его с осла в первый же день снимут. Так и живём без спасителя...   "
6,startle,overhear,vk,"Мне очень нравится смотреть фильмы 90-х, начала 2000-х, а точнее, на девушек и женщин в них. Нет пяти слоев макияжа, выдаваемого за ""натурель"", на глазах не наклеены опахала, которые сейчас называют ресницы, волосы чутка пушатся и фигура не фитнес-няшки с плоским животом и арбузом вместо попы. И даже зубы, в большинстве своём, родные, не под линейку и унитазно-белые. Прям как бальзам на душу после этого бесконечного отфотошопленного глянца, который плавно переполз на улицы города.   "
7,startle,overhear,vk,"Замужем, мой муж имеет дочь от первого брака. У меня у самой сын от первого брака, на пару лет младше. Такой кайф — наблюдать за их искренней дружбой и поддержкой. Они больше в чувствах и жизни понимают, чем взрослые с их тараканами. Пример: поругалась с мужем, мол, не хочешь ко мне прислушиваться — иди нафиг. Поругались наши детки — она: ""Нечестно, что ты меня не слушаешь, а я тебя слушаю!"" Он: ""Ну да... Ладно, давай по-твоему, а в следующий раз — по-нашему"")   "
8,startle,overhear,vk,"Работаю кассиром в строительном магазине. 23 февраля была большая очередь. Чем быстрее я обслужу покупателей, тем лучше. Поэтому я никого из мужчин не поздравляла с праздником. Но один выделился. Я быстро обслужила. Он отошёл на шаг и громко заявил жене: ""Могли бы нас, мужчин, и с праздником поздравить!"" Таким голосом, будто я ему 5000 рублей не отдала. Так противно за него стало. Он же мужчина, а ноет из-за мелочей хуже, чем маленькая девочка.   "
9,startle,overhear,vk,"На свидании с мужчиной слушала его воодушевленную речь о том, что девушка с большим количеством половых партнеров — не девушка; что для нас очень важно хранить девственность, что «шлюха» не может растить семью. На мой вопрос, почему мужчин это не касается, начал заливать что-то про ключ и замок. В итоге, пока он с пеной у рта втирал, что два половых партнёра — для девушки край, я пыталась посчитать всех, с кем спала. Нам, видимо, не по пути с моим-то богатым прошлым.   "
