text,emotion,source_type,source_name
"Рыбаков со своими солдатами несколько дней провел на вокзале, бои шли и днем и ночью. Они делали вылазки, чтобы не давать поставить орудия, бившие прямой наводкой, и во время одной такой вылазки его ранили. Он говорит, что уже выбирал минуту, чтобы застрелиться – страшно было попасть в плен. Но наши солдаты его отбили и вынесли из-под огня.",neutral,book,pismovnik
"Вчера подошли к Таку. На рейде было уже много кораблей под всевозможными флагами, но залив мелководный, и большие суда не могут пройти к устью Пейхо. Поэтому сперва мы перебрались на баржи, и было как-то не по себе, когда смотрел на лошадей, которых поднимали и опускали судовыми лебедками. Они ржали испуганно, отрешенно, будто смирились со своей участью, и беспомощно болтали в воздухе удлинившимися ногами.",neutral,book,pismovnik
"– В-третьих, и, может быть, самое главное – без нужды не убивать. Помните, они – такие же люди. Ребята, будет трудно. И идти придется далеко, на край света. Туда даже Александр Македонский не добрался, дошел только до границы и приказал поставить мраморную колонну и написать на ней стих: «Я, Александр, дошел до этих мест». Не верите? Я вам покажу. У кактусов там ушки на макушке и народ нагомудрый. Когда Александр Македонский увидел их, то весьма удивился и сказал: «Просите что хотите, и я дам это вам!» Они ответили ему: «Дай нам бессмертие, которого мы больше всего желаем, а других богатств нам и не надо». Александр же сказал им: «Я смертный, как же могу дать вам бессмертие?» А они ему: «Если ты считаешь себя смертным, то зачем, совершая столько зла, скитаешься и блуждаешь по всему миру?» Вишь, им палец в рот не клади. А чуть отвернешься, получишь пулю в затылок. Поедем сначала по железной дороге, а потом морем. А то, что прибыли на место, поймем, как только увидим людей с песьими головами. И еще мы пойдем с веслами, а они нас спросят, что это за лопаты мы несем. Еще там существуют публичные лупанары женоподобных мужчин и другие бесчисленные мерзости, так что будьте всегда начеку! Для нас мир – процесс, для них – результат. Они считают знание воспоминанием. Каждый знает свое будущее – и все равно живет свою жизнь. То есть получается, что любящие любят друг друга еще прежде того, как узнают друг о друге, познакомятся и разговорятся. А еще они не молятся о себе, потому что в чем наша польза – мы не знаем. Божества у них нехитрые, но их столько же, сколько птиц, деревьев, облаков, луж, закатов и нас. Относительно существования иных миров они находятся в сомнении, но считают безумием утверждать, что вне видимого ничего не существует, ибо, говорят они, небытия нет ни в мире, ни за его пределами. Они признают два физических начала всех земных вещей: солнце-отца и землю-мать. Воздух считают они нечастою долею неба, а весь огонь – исходящим от солнца. Море – это пот земли и такое же связующее звено между воздухом и землею, как кровь между телом и духом у живых существ. Мир – это огромное живое существо, а мы живем в его чреве, подобно червям, живущим в нашем чреве. Но только счастлив ли червь – неизвестно, а человек рождается, живет и умирает счастливым, только все время забывает об этом. И вот эти нагомудрецы поотвинчивали все гайки с рельсов. И ладно бы на грузила! Тоже мне, злоумышленники гребаные! Нет, им, видите ли, железные дороги фэн-шуй портят! Надо уничтожать всю эту мразь безжалостно. Как бешеных собак! Стереть с лица земли всю эту поганую псину! Помните, кто-то должен делать и грязную работу. Мужики! Будем мстить за наших товарищей и боевых друзей, которые пока еще живы, вот они, среди нас, улыбаются, но уже скоро. Главное, знайте, что правда на нашей стороне, а на их – неправда! Но может, и наоборот. Ведь свет – это левая рука тьмы, а тьма – это правая рука света. Ведь и Солнце стремится спалить Землю, а вовсе не производить растения, людей. В этой жизни победителей не бывает, все – побежденные. Тем более что ты их штыком, а они все равно подумают так: «Беспокоиться о том, что будет с тобой после смерти, – все равно что спрашивать себя, что будет с кулаком, когда ты его разожмешь, или с согнутой в колене ногой, когда ты встанешь». И главное, ребятки, берегите себя! Пока не прозвучит наказ – не стрелять! Пифагоровы штаны помните? Эх вы, ветерок в голове! В школе ведь проходили! В одно ухо влетело, в другое вылетело. Учи вас, дураков! Одни юбки на уме. Чему учил Пифагор? Пифагор учил, что когда суждено будет умереть, то, лишь душа твоя покинет мир подлунный и свет солнца, ступай налево по священным лугам и рощам Фарсефонеи. А когда тебя спросят, кто ты и откуда, надо ответить: «Я – козленок – упал в молоко». Ну вот, теперь все, кажется. Да, вот еще что, не плюйте, пожалуйста, в миску с кашей штабному писарю. И вообще, оставьте этого юродивого в покое! Ну, подумаешь, скребет себе перышком свои похоронки. Кому он мешает? Не хочет молиться за царя-ирода? А кто хочет?",anger,book,pismovnik
"У бабушки была коробка с пуговицами, и я обожал играть, будто это моя армия. Мелкие белые пуговички были пехотой, другие изображали кавалерию, пушки. Помню огромную перламутровую – это был генерал, всегда сражавшийся против армии другого генерала – позеленевшей медной застежки. Я устраивал целые битвы – пуговицы бросались в атаку, кричали, схватившись врукопашную, умирали. Погибших я сгребал обратно в коробку.",neutral,book,pismovnik
"Вижу, Убри лежит шагах в десяти, ближе всех ко мне. Руки и ноги как будто отсечены. Их нет! Сапог с остатком ноги валяется рядом. Лицо в серой копоти. Я наклонился, и мне показалось, что он еще жив. Рот открыт. На моих глазах его зрачки плавно закрылись какой-то шторкой. Он умер в этот самый миг, как я над ним наклонился. Не знаю почему, я понял, что должен это сделать – протянуть руку и закрыть ему глаза. Протягиваю, но дотронуться не могу.",distress,book,pismovnik
"Вообще, даже сейчас видно, какой это был красивый и даже щегольской город! Каким комфортом европейцы обставили свою жизнь! Красивая набережная, безукоризненные широкие улицы, обсаженные тополями и акациями, сады, живописный парк Виктории, нарядные дома английского типа, клубы, почта, телеграф, телефон, канализация, освещение. Несколько больших блестящих магазинов, правда разгромленных и выгоревших.",excitement,book,pismovnik
"Знаешь, что замечательно? Вот мешаются здесь с нашими фуражками белые шлемы англичан, синие круглые головные уборы французов, германские каски, чалмы сипаев, задорно загнутые шляпы американцев, маленькие белые фуражки японцев – и приходит ощущение, что есть действительно единая человеческая семья, и все войны, которые вели наши предки, ушли в прошлое. Наверное, мы на последней войне.",excitement,book,pismovnik
"Бабушка заболела. Вернее, она зимой поскользнулась на наледи около почты, упала и сломала себе бедро. Она уже не вставала, несколько месяцев лежала беспомощная и слабела. Запомнилось, как мама вздыхала, что бабушка больше «не жилец». Еще запомнилась сцена, как у бабушки трясутся руки и голова, а мама расчесывает ей волосы. Бабушка была в молодости очень красивая, ходила с длинной толстой косой, в руку толщиной. Косу когда-то отрезали из-за болезни, и она хранилась у нас как семейная реликвия. А к старости у бабушки снова отросли длинные волосы.",neutral,book,pismovnik
"Те несколько дней, которые я прожила у них, были одновременно и тяжелые, и чудесные. Чудесно было чувствовать себя нужной. Я спала на раскладушке в детской. Утром вставала пораньше, чтобы привести себя в порядок, чтобы не ходить по квартире с заспанным лицом и всклокоченными волосами. Готовила завтрак. Янкин муж уезжал на работу. Я отводила старшего в школу, младшего в детский сад. Ходила по магазинам. Возвращалась, занималась уборкой, стиркой, готовкой. Все, что так ненавидела делать у себя дома, здесь стало радостью. Потом встречала детей, кормила, занималась с ними, делала с Костиком уроки. Приходил Янкин муж, кормила его. Он хвалил все, что я готовила. Было приятно.",enjoyment,book,pismovnik
"Кнопка играла без конца, и так здорово было за ней наблюдать. Когда она первый раз увидела себя в зеркале, стала бросаться на свое отражение, вздыбив шерстку на загривке и растопырив коготки. Ударилась несколько раз носом и потеряла к зеркалу раз и навсегда всякий интерес. Зато за веревочкой могла охотиться часами. А то, выспавшись, начинала носиться по комнате молнией – с кровати на кресло, оттуда на шторы, оттуда на шкаф, оттуда на диван и так колесом, пока не опрокидывала что-нибудь. Тогда забивалась под диван, и нужно было ее выманивать какой-нибудь прыгающей бумажкой.",neutral,book,pismovnik
